iter	RMSE
0	1032.820992
1	823.0753912
2	662.0552733
3	542.6501812
4	460.6509185
5	397.619024
6	354.0349834
7	320.5596619
8	297.5900041
9	278.9448643
10	267.8059012
11	261.1416
12	256.1175663
13	248.7554344
14	244.9444052
15	240.7890383
16	238.2237135
17	234.3654027
18	231.3899231
19	228.0146626
20	222.955431
21	220.6616441
22	219.4779359
23	217.5757419
24	213.9153881
25	211.7054256
26	207.9440993
27	206.0318209
28	204.4035654
29	202.9817022
30	199.1402532
31	196.9536077
32	195.9126796
33	194.4445093
34	193.0494574
35	191.6506539
36	189.5955336
37	187.3751514
38	186.445561
39	185.6706286
40	184.4945369
41	183.1849322
42	181.5834853
43	179.0912372
44	177.3837333
45	176.2911107
46	175.0357484
47	173.5336335
48	172.4778458
49	171.6743083
50	170.5581713
51	169.8761508
52	169.1015938
53	168.1767279
54	167.9699305
55	166.0827784
56	165.3952441
57	164.6055401
58	164.1481082
59	162.9858863
60	162.5870823
61	161.786158
62	161.085335
63	160.122294
64	159.5685613
65	158.519324
66	158.1072486
67	157.6938401
68	157.4424964
69	156.3377049
70	155.6201602
71	155.1495516
72	154.4939135
73	153.6539443
74	153.2173677
75	152.6724817
76	151.8837551
77	151.3849593
78	150.5052674
79	149.9370855
80	149.6944241
81	149.5448977
82	148.9958085
83	148.3779004
84	147.6212331
85	146.2172089
86	145.7641491
87	144.9733313
88	144.6375085
89	143.9357487
90	142.7621969
91	142.0899593
92	141.3234037
93	140.7708932
94	139.7793159
95	139.1903774
96	139.0643612
97	138.4555708
98	137.7959662
99	137.4682512
100	136.9438401
101	136.681569
102	136.559549
103	136.181966
104	135.5964132
105	135.0917382
106	134.8474615
107	134.7156781
108	134.380571
109	133.5475706
110	132.973305
111	132.6859299
112	132.4256751
113	131.8951354
114	130.5743049
115	129.7773792
116	129.4803413
117	128.7722129
118	128.5016517
119	128.0947034
120	127.2145275
121	126.8894412
122	126.4490422
123	126.0168938
124	125.4659898
125	124.9219745
126	124.4025675
127	124.045347
128	122.9858501
129	122.3911551
130	121.8450971
131	121.644299
132	121.1175817
133	120.9070666
134	120.6086221
135	120.1152139
136	119.7486712
137	119.5501816
138	119.3269722
139	118.9994922
140	118.7021234
141	118.3143594
142	118.0151474
143	117.8209701
144	117.3986887
145	117.1682945
146	116.948587
147	116.2731267
148	116.1584409
149	115.5275705
150	115.1469186
151	114.9807958
152	114.7559268
153	114.4848896
154	114.2451773
155	113.9138425
156	113.5059709
157	113.1462767
158	113.0288963
159	112.8252259
