iter	Passed	Remaining
0	19	9781
1	37	9290
2	56	9427
3	73	9123
4	93	9301
5	110	9133
6	129	9138
7	149	9168
8	167	9162
9	185	9083
10	205	9149
11	225	9189
12	243	9126
13	262	9128
14	279	9043
15	298	9036
16	315	8953
17	333	8936
18	351	8891
19	367	8808
20	386	8814
21	403	8760
22	422	8771
23	440	8740
24	457	8683
25	477	8696
26	495	8678
27	512	8634
28	532	8646
29	549	8605
30	566	8568
31	587	8594
32	604	8558
33	625	8569
34	642	8540
35	658	8487
36	677	8472
37	694	8443
38	713	8438
39	730	8395
40	748	8380
41	766	8358
42	788	8380
43	804	8337
44	823	8321
45	839	8289
46	858	8269
47	873	8221
48	889	8189
49	909	8181
50	926	8159
51	942	8124
52	961	8110
53	979	8091
54	1014	8208
55	1046	8294
56	1075	8358
57	1102	8404
58	1126	8417
59	1148	8422
60	1172	8435
61	1204	8511
62	1239	8598
63	1268	8639
64	1286	8606
65	1306	8590
66	1322	8548
67	1342	8531
68	1359	8489
69	1380	8478
70	1398	8452
71	1419	8438
72	1435	8395
73	1454	8372
74	1476	8369
75	1495	8345
76	1512	8306
77	1528	8268
78	1548	8253
79	1567	8228
80	1598	8267
81	1616	8241
82	1635	8217
83	1652	8185
84	1672	8167
85	1702	8194
86	1720	8167
87	1736	8127
88	1754	8103
89	1769	8062
90	1788	8039
91	1805	8005
92	1823	7981
93	1839	7944
94	1857	7919
95	1885	7933
96	1905	7914
97	1924	7893
98	1941	7864
99	1958	7832
100	1977	7811
101	1992	7776
102	2012	7755
103	2028	7724
104	2047	7703
105	2065	7679
106	2085	7659
107	2104	7637
108	2120	7606
109	2139	7585
110	2155	7554
111	2174	7531
112	2190	7501
113	2209	7481
114	2225	7452
115	2247	7438
116	2264	7413
117	2285	7397
118	2300	7366
119	2320	7347
120	2337	7320
121	2358	7308
122	2377	7288
123	2401	7283
124	2419	7257
125	2439	7241
126	2456	7213
127	2474	7191
128	2490	7163
129	2510	7144
130	2527	7118
131	2546	7099
132	2564	7077
133	2584	7058
134	2601	7033
135	2617	7006
136	2635	6984
137	2651	6954
138	2670	6936
139	2688	6913
140	2706	6891
141	2723	6865
142	2742	6845
143	2758	6819
144	2777	6799
145	2794	6776
146	2810	6747
147	2826	6722
148	2845	6703
149	2861	6677
150	2880	6657
151	2896	6630
152	2914	6611
153	2930	6585
154	2950	6567
155	2967	6543
156	2986	6525
157	3003	6501
158	3023	6485
159	3041	6462
160	3057	6437
161	3075	6416
162	3093	6395
163	3112	6376
164	3129	6353
165	3147	6332
166	3173	6327
167	3193	6310
168	3211	6290
169	3227	6265
170	3247	6247
171	3265	6228
172	3285	6210
173	3303	6188
174	3321	6168
175	3338	6145
176	3357	6127
177	3375	6107
178	3393	6085
179	3412	6066
180	3430	6046
181	3449	6027
182	3466	6005
183	3486	5987
184	3503	5964
185	3521	5944
186	3539	5924
187	3555	5900
188	3572	5879
189	3590	5857
190	3609	5839
191	3625	5816
192	3644	5797
193	3661	5775
194	3680	5756
195	3697	5734
196	3715	5714
197	3733	5693
198	3759	5687
199	3776	5664
200	3795	5646
201	3812	5623
202	3830	5604
203	3848	5584
204	3865	5561
205	3883	5542
206	3898	5518
207	3916	5498
208	3936	5480
209	3956	5463
210	3975	5445
211	3994	5426
212	4010	5403
213	4028	5383
214	4044	5361
215	4063	5342
216	4079	5320
217	4100	5304
218	4117	5283
219	4134	5261
220	4153	5243
221	4170	5222
222	4190	5205
223	4209	5186
224	4225	5165
225	4245	5147
226	4260	5124
227	4279	5105
228	4298	5086
229	4314	5064
230	4333	5045
231	4349	5024
232	4369	5006
233	4385	4984
234	4403	4966
235	4434	4960
236	4453	4942
237	4470	4920
238	4489	4902
239	4505	4880
240	4524	4862
241	4555	4856
242	4574	4838
